Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

BODY MEASURE w=1.00 g=1.00 vox=0.018 grid=40x105x33
| height | y | x-span | depth | masses (width each) |
|---|---|---|---|---|
| shoulders (deltoid line) | 1.425 | 0.468 | 0.198 | 1: 0.468 |
| upper chest | 1.380 | 0.468 | 0.234 | 1: 0.468 |
| chest (nipple line) | 1.300 | 0.504 | 0.252 | 1: 0.504 |
| under ribs | 1.190 | 0.504 | 0.234 | 3: 0.072, 0.324, 0.072 |
| waist | 1.080 | 0.540 | 0.216 | 3: 0.090, 0.288, 0.090 |
| belt | 1.030 | 0.540 | 0.216 | 3: 0.072, 0.288, 0.072 |
| hips (trochanter) | 0.900 | 0.540 | 0.252 | 3: 0.054, 0.360, 0.054 |
| crotch | 0.840 | 0.360 | 0.216 | 1: 0.360 |
| upper thigh | 0.760 | 0.360 | 0.180 | 1: 0.360 |
| mid thigh | 0.650 | 0.324 | 0.144 | 2: 0.144, 0.144 |
| knee | 0.480 | 0.252 | 0.144 | 2: 0.108, 0.108 |
| calf | 0.370 | 0.252 | 0.144 | 2: 0.108, 0.108 |
| ankle | 0.110 | 0.234 | 0.090 | 2: 0.090, 0.090 |
| instep (boot) | 0.085 | 0.252 | 0.162 | 2: 0.108, 0.108 |
| vamp (boot) | 0.050 | 0.216 | 0.288 | 2: 0.072, 0.072 |
| sole (boot) | 0.020 | 0.216 | 0.288 | 2: 0.072, 0.072 |
| upper arm | 1.250 | 0.504 | 0.234 | 3: 0.090, 0.288, 0.090 |
| forearm | 1.050 | 0.540 | 0.216 | 3: 0.090, 0.288, 0.090 |
| wrist | 0.930 | 0.540 | 0.252 | 3: 0.054, 0.360, 0.054 |
